DayInYear: 1st of January=1, 2nd of January=2, ...
DayOfWeek: Monday=0, Tuesday=1, Wednesday=2, Thursday=3, Friday=4, Saturday=5, Sunday=6
UScoast: Non-coast=0, WestCoast=1, EastCoast=2
Date	HourInDay	DayInYear	DayOfWeek	USstate	UScoast	Shape	DurationInSec
1/4/2019	0.25	4	4	MO	0.0	Rectangle	20.0
1/3/2019	20.5	3	3	TN	0.0	Disk	1.0
1/3/2019	20.0	3	3	IL	0.0	Triangle	20.0
1/3/2019	17.333333333333332	3	3	MA	2.0	Diamond	120.0
1/3/2019	15.0	3	3	CA	1.0	Oval	1800.0
1/3/2019	6.0	3	3	ND	0.0	Light	30.0
1/3/2019	4.583333333333333	3	3	CA	1.0	Circle	1200.0
1/3/2019	2.75	3	3	AZ	0.0	Unknown	300.0
1/1/2019	0.38333333333333336	1	1	ID	0.0	Light	180.0
1/1/2019	0.06666666666666667	1	1	FL	2.0	Circle	180.0
12/31/2018	23.0	365	0	FL	2.0	Light	300.0
12/31/2018	21.783333333333335	365	0	MS	0.0	Unknown	300.0
12/31/2018	21.75	365	0	SC	2.0	Sphere	10.0
12/31/2018	21.683333333333334	365	0	FL	2.0	Fireball	20.0
12/31/2018	20.25	365	0	CT	2.0	Circle	20.0
12/31/2018	19.5	365	0	FL	2.0	Unknown	600.0
12/31/2018	6.75	365	0	CA	1.0	Oval	30.0
12/30/2018	22.166666666666668	364	6	MS	0.0	Flash	120.0
12/30/2018	20.5	364	6	FL	2.0	Light	300.0
12/30/2018	18.0	364	6	WA	1.0	Fireball	600.0
12/30/2018	18.0	364	6	WA	1.0	Circle	1200.0
12/30/2018	15.5	364	6	FL	2.0	Disk	900.0
12/29/2018	20.5	363	5	-	2.0	Unknown	900.0
12/29/2018	18.0	363	5	CT	2.0	Sphere	4.0
12/29/2018	17.766666666666666	363	5	CA	1.0	Oval	1.0
12/29/2018	17.0	363	5	CT	2.0	Disk	180.0
12/29/2018	0.48333333333333334	363	5	TX	0.0	Changing	600.0
12/28/2018	21.083333333333332	362	4	WV	0.0	Sphere	900.0
12/28/2018	21.066666666666666	362	4	NY	2.0	Teardrop	3.0
12/28/2018	21.0	362	4	MT	0.0	Light	40.0
12/28/2018	18.633333333333333	362	4	CA	1.0	Light	300.0
12/28/2018	2.0	362	4	IN	0.0	Oval	120.0
12/26/2018	22.5	360	2	MD	2.0	Oval	5.0
12/26/2018	22.0	360	2	NC	2.0	Circle	2.0
12/26/2018	18.0	360	2	TN	0.0	Other	90.0
12/26/2018	2.5833333333333335	360	2	SC	2.0	Flash	5.0
12/25/2018	6.3	359	1	MA	2.0	Chevron	4.0
12/24/2018	23.4	358	0	CT	2.0	Fireball	1200.0
12/24/2018	22.533333333333335	358	0	MA	2.0	Circle	30.0
12/24/2018	21.5	358	0	CT	2.0	Light	3.0
12/24/2018	21.25	358	0	GA	2.0	Fireball	45.0
12/24/2018	20.916666666666668	358	0	IA	0.0	Light	120.0
12/24/2018	18.583333333333332	358	0	WY	0.0	Formation	360.0
12/24/2018	17.666666666666668	358	0	MT	0.0	Light	300.0
12/23/2018	1.0	357	6	CA	1.0	Oval	480.0
12/22/2018	18.5	356	5	NC	2.0	Sphere	300.0
12/22/2018	14.5	356	5	MA	2.0	Sphere	60.0
12/22/2018	8.083333333333334	356	5	FL	2.0	Light	180.0
12/22/2018	6.75	356	5	ID	0.0	Light	1500.0
12/22/2018	6.666666666666667	356	5	TN	0.0	Circle	300.0
12/21/2018	23.95	355	4	MA	2.0	Triangle	120.0
12/21/2018	9.166666666666666	355	4	TN	0.0	Other	600.0
12/20/2018	4.5	354	3	AZ	0.0	Circle	3600.0
12/19/2018	21.5	353	2	TX	0.0	Light	600.0
12/19/2018	21.0	353	2	FL	2.0	Light	900.0
12/19/2018	20.25	353	2	CA	1.0	Unknown	20.0
12/19/2018	17.683333333333334	353	2	CA	1.0	Light	600.0
12/19/2018	14.0	353	2	CA	1.0	Cylinder	1200.0
12/19/2018	7.583333333333333	353	2	VT	0.0	Rectangle	20.0
12/19/2018	6.0	353	2	CT	2.0	Light	1800.0
12/19/2018	5.633333333333333	353	2	CA	1.0	Other	300.0
