Uniform 	 Gaussian 	 Poisson 	 Exponential 	 Power 
   0.6056 	   -0.3357 	         6 	    0.2310 	    0.3919 
   0.8957 	   -0.7894 	         7 	    0.5435 	    0.0181 
   0.7928 	   -0.0457 	        11 	    1.1668 	    0.2533 
   0.0100 	   -0.7650 	        12 	    1.8086 	    0.8214 
   0.8433 	   -2.0858 	        13 	    0.2027 	    0.8550 
   0.8826 	   -0.1869 	        10 	    0.4907 	    0.8035 
   0.9018 	   -0.2757 	         4 	    0.0770 	    0.3755 
   0.8038 	    0.9407 	        11 	    0.2486 	    0.3505 
   0.3725 	   -0.1868 	        10 	    1.0692 	    0.7088 
   0.0084 	   -0.6176 	         7 	    0.6616 	    0.0053 
   0.8045 	    0.2685 	        11 	    1.3933 	    0.8030 
   0.5180 	    1.5130 	         6 	    0.9688 	    0.7423 
   0.1699 	    0.1509 	        13 	    1.0617 	    0.8891 
   0.5788 	   -0.1179 	        11 	    0.6423 	    0.7164 
   0.2709 	   -0.6303 	         7 	    0.5531 	    0.9078 
   0.5071 	   -1.0081 	         7 	    1.1912 	    0.3828 
   0.8218 	    1.1083 	         8 	    0.3066 	    0.9391 
   0.6364 	    0.5968 	         8 	    0.2119 	    0.6946 
   0.2187 	   -1.5259 	         7 	    1.2005 	    0.3683 
   0.4323 	    0.6179 	         7 	    0.0398 	    0.6668 
   0.3230 	    0.6707 	        14 	    0.8597 	    0.0673 
   0.0949 	   -0.2923 	        12 	    1.9521 	    0.9976 
   0.2415 	   -0.0973 	         6 	    0.4470 	    0.7837 
   0.5662 	   -0.5038 	         8 	    0.2640 	    0.0144 
   0.7644 	    1.3349 	        11 	    0.9798 	    0.8644 
